samplename	orig_filenames	group	tissue	sex	driver	target	replicate	lane
C1_c587_dam_F_ovary_5	/data/Oliverlab/fastq/160819_run0496/Sample_C1_c587_dam_female_5/C1_c587_dam_female_5_S52_L003_R1_001.fastq.gz	C1_c587_dam_female_5	ovary	female	c587	dam	5	3
D1_tj_polII_F_ovary_5	/data/Oliverlab/fastq/160819_run0496/Sample_D1_tj_polII_female_5/D1_tj_polII_female_5_S61_L003_R1_001.fastq.gz	D1_tj_polII_female_5	ovary	female	tj	polII	5	3
E1_c587_polII_F_ovary_5	/data/Oliverlab/fastq/160819_run0496/Sample_E1_c587_polII_female_5/E1_c587_polII_female_5_S56_L003_R1_001.fastq.gz	E1_c587_polII_female_5	ovary	female	c587	polII	5	3
F1_tj_dam_F_ovary_2	/data/Oliverlab/fastq/160819_run0496/Sample_F1_tj_dam_female_2/F1_tj_dam_female_2_S51_L003_R1_001.fastq.gz	F1_tj_dam_female_2	ovary	female	tj	dam	2	3
H1_tj_dam_F_ovary_6	/data/Oliverlab/fastq/160819_run0496/Sample_H1_tj_dam_female_6/H1_tj_dam_female_6_S60_L003_R1_001.fastq.gz	H1_tj_dam_female_6	ovary	female	tj	dam	6	3
A2_c587_polII_F_ovary_4	/data/Oliverlab/fastq/160819_run0496/Sample_A2_c587_polII_female_4/A2_c587_polII_female_4_S55_L003_R1_001.fastq.gz	A2_c587_polII_female_4	ovary	female	c587	polII	4	3
B2_tj_dam_F_ovary_4	/data/Oliverlab/fastq/160819_run0496/Sample_B2_tj_dam_female_4/B2_tj_dam_female_4_S50_L003_R1_001.fastq.gz	B2_tj_dam_female_4	ovary	female	tj	dam	4	3
C2_c587_dam_F_ovary_3	/data/Oliverlab/fastq/160819_run0496/Sample_C2_c587_dam_female_3/C2_c587_dam_female_3_S59_L003_R1_001.fastq.gz	C2_c587_dam_female_3	ovary	female	c587	dam	3	3
D2_tj_polII_F_ovary_3	/data/Oliverlab/fastq/160819_run0496/Sample_D2_tj_polII_female_3/D2_tj_polII_female_3_S54_L003_R1_001.fastq.gz	D2_tj_polII_female_3	ovary	female	tj	polII	3	3
E2_tj_dam_M_testis_1	/data/Oliverlab/fastq/160819_run0496/Sample_E2_tj_dam_male_1/E2_tj_dam_male_1_S49_L003_R1_001.fastq.gz	E2_tj_dam_male_1	testis	male	tj	dam	1	3
F2_tj_polII_M_testis_2	/data/Oliverlab/fastq/160819_run0496/Sample_F2_tj_polII_male_2/F2_tj_polII_male_2_S58_L003_R1_001.fastq.gz	F2_tj_polII_male_2	testis	male	tj	polII	2	3
G2_tj_dam_M_testis_5	/data/Oliverlab/fastq/160819_run0496/Sample_G2_tj_dam_male_5/G2_tj_dam_male_5_S53_L003_R1_001.fastq.gz	G2_tj_dam_male_5	testis	male	tj	dam	5	3
H2_tj_polII_M_testis_4	/data/Oliverlab/fastq/160819_run0496/Sample_H2_tj_polII_male_4/H2_tj_polII_male_4_S63_L003_R1_001.fastq.gz	H2_tj_polII_male_4	testis	male	tj	polII	4	3
A3_c587_polII_M_testis_1	/data/Oliverlab/fastq/160819_run0496/Sample_A3_c587_polII_male_1/A3_c587_polII_male_1_S73_L004_R1_001.fastq.gz	A3_c587_polII_male_1	testis	male	c587	polII	1	4
B3_tj_polII_M_testis_3	/data/Oliverlab/fastq/160819_run0496/Sample_B3_tj_polII_male_3/B3_tj_polII_male_3_S67_L004_R1_001.fastq.gz	B3_tj_polII_male_3	testis	male	tj	polII	3	4
C3_tj_dam_M_testis_6	/data/Oliverlab/fastq/160819_run0496/Sample_C3_tj_dam_male_6/C3_tj_dam_male_6_S78_L004_R1_001.fastq.gz	C3_tj_dam_male_6	testis	male	tj	dam	6	4
D3_c587_polII_M_testis_5	/data/Oliverlab/fastq/160819_run0496/Sample_D3_c587_polII_male_5/D3_c587_polII_male_5_S72_L004_R1_001.fastq.gz	D3_c587_polII_male_5	testis	male	c587	polII	5	4
E3_c587_dam_M_testis_2	/data/Oliverlab/fastq/160819_run0496/Sample_E3_c587_dam_male_2/E3_c587_dam_male_2_S66_L004_R1_001.fastq.gz	E3_c587_dam_male_2	testis	male	c587	dam	2	4
F3_c587_dam_M_testis_6	/data/Oliverlab/fastq/160819_run0496/Sample_F3_c587_dam_male_6/F3_c587_dam_male_6_S77_L004_R1_001.fastq.gz	F3_c587_dam_male_6	testis	male	c587	dam	6	4
G3_c587_dam_M_testis_3	/data/Oliverlab/fastq/160819_run0496/Sample_G3_c587_dam_male_3/G3_c587_dam_male_3_S71_L004_R1_001.fastq.gz	G3_c587_dam_male_3	testis	male	c587	dam	3	4
H3_c587_dam_M_testis_4	/data/Oliverlab/fastq/160819_run0496/Sample_H3_c587_dam_male_4/H3_c587_dam_male_4_S65_L004_R1_001.fastq.gz	H3_c587_dam_male_4	testis	male	c587	dam	4	4
